name,region,location_detail,tags,phone,email,website,logo_url,description,source
"Clarence Environment Centre","other","Grafton, Clarence Valley LGA","environment,education","(02) 6643 4611","info@cec.org.au","https://cec.org.au",,"Grassroots environment centre active since 1990. Runs a volunteer-staffed shop in Grafton, ecological surveys of vulnerable species, and advocacy across the Clarence Valley. Works with council, landowners and community groups to protect local biodiversity.","org website 2026-04-22 (phone + email inferred from domain pattern - verify)"
"Clarence Valley Conservation Coalition","other","Grafton, Clarence Valley LGA","environment,conservation",,"clarencevalleycc@gmail.com","https://clarencevalleycc.blogspot.com",,"Grafton-based community group formed 1988 with members throughout the Clarence Valley. Engages on environmental, land-use and biodiversity issues affecting the region.","org blog + environmental movement directory 2026-04-22 (email inferred - verify)"
"Valley Watch Inc","other","Wooloweyah, Clarence Valley LGA","environment,conservation",,"valleywatch@bigpond.com","http://www.clarencevalleywatchyamba.com",,"Long-running conservation group focused on the Lower Clarence. Funded the Lower Clarence Biolinks Study and liaises with government, industry and community on resource management and nature conservation.","org website 2026-04-22 (email from published directory listings - verify)"
"FoodCare Grafton","other","Shop L5 'The Link', Grafton Shopping World, 50 Prince St, Grafton","food-relief,food-security","(02) 6642 6473","foodcare-grafton@faithfamily.com.au",,,"Low-cost food relief operating Wed-Fri 9am-1pm. A care group of Christian Outreach Centre Grafton helping people under financial stress stretch their food budget.","Clarence Valley Council community services directory 2026-04-22"
"Yamba Farmers & Producers Market","other","Whiting Beach Carpark, Yamba (Wed 7-11am)","farmers-market,food-systems","0402 404 606","yambafarmers@gmail.com","https://www.yambafarmersandproducersmarket.com",,"Weekly Wednesday producer-only farmers market at Whiting Beach. Anchor point for Clarence Valley regenerative producers and a hub for the local food story.","market website 2026-04-22"
"Casino Community Garden","casino","Cnr Adam & Hartley Streets, South Casino","community-garden,food-security","(02) 6662 5435","coordinator.cdp@cnci.org.au","http://casino-garden.blogspot.com.au",,"Community garden growing food locally and supporting local welfare agencies. A project of the Casino Neighbourhood Centre.","NSW Landcare Gateway + Casino-garden blog 2026-04-22"
"Casino Neighbourhood Centre","casino","138 Canterbury St, Casino","neighbourhood-centre,food-relief","(02) 6662 2898","admin@cnci.org.au","https://casinoneighbourhoodcentre.org.au",,"Richmond Valley's Casino-based neighbourhood centre. Auspices the Casino Community Garden and delivers community development, welfare and family support across the LGA.","org website + Richmond Valley Council directory 2026-04-22 (email inferred - verify)"
"Mid Richmond Neighbourhood Centre (Community Pantry)","other","Shop 5/6 Oak St, Oaks Arcade, Evans Head","neighbourhood-centre,food-relief,food-security","(02) 6682 4334","office.admin@mrnc.com.au","https://www.mrnc.com.au",,"Neighbourhood centre serving Evans Head, Woodburn, Broadwater and Coraki. Runs a low-cost Community Pantry ($3/yr membership), Cook and Connect program, and broader community services.","org website 2026-04-22"
"Ballina Community Garden","ballina","Saunders Oval, cnr Swift & Clarence Sts, Ballina","community-garden","0400 148 692","ballinacommunitygardens@gmail.com","https://ballinacommunitygardens.com.au",,"Established 2011 on a 3,900 sqm Crown Land site. Welcoming, inclusive space for growing fruit, vegetables and flowers, and sharing gardening knowledge and local food sustainability skills.","org website + Community Gardens Australia directory 2026-04-22"
"Lennox Community Gardens","other","Ocean Breeze Reserve, Lennox Head, Ballina LGA","community-garden",,"lennoxcommunitygardens@gmail.com","https://lennoxcommunitygardens.weebly.com",,"Founded 2015 by local volunteers. Occupies 3,000 sqm within Ocean Breeze Reserve with ~100 mainly exotic fruit trees plus vegetable plots. Working bees Thursdays 8.30-10.30am and Sundays 4-6pm.","org website 2026-04-22 (email inferred from published pattern - verify)"
"Lennox Head Landcare","other","Lennox Head, Ballina LGA","landcare",,"info@lennoxheadlandcare.org","https://www.lennoxheadlandcare.org",,"Lennox Head Landcare acknowledges the Traditional Custodianship of the Nyangbul peoples of the Bundjalung Nation. Maintains habitat gardens and bush regeneration work across the Lennox area.","org website 2026-04-22 (email inferred from domain pattern - verify)"
"Liberation Larder","byron_bay","Byron Bay Community Centre, Fletcher St entrance","food-relief,food-rescue","0435 879 778","info@liberationlarder.org","https://www.liberationlarder.org",,"Volunteer-run registered charity rescuing food from becoming waste and preparing meals for people in need. Serves 600+ meals per week from the Byron Community Centre kitchen (Mon/Thu 7am-2pm).","org website 2026-04-22"
"Amrita Pantry Byron Bay","byron_bay","Byron Bay","food-relief,food-security","0478 490 828","amritapantrybyronbay@ammaaustralia.org.au","https://amritaaustralia.org.au/amrita-pantry-project",,"Food pantry initiative of Amrita Australia and Amma Byron Bay. Works with local organisations to provide food and essential items to people in need across Byron Bay and surrounds.","org website 2026-04-22"
"Santos Organics","byron_bay","Three stores across Byron Bay + Mullumbimby","food-co-op,food-systems","(02) 6685 7071","info@santosorganics.com.au","https://santosorganics.com.au",,"100% not-for-profit environmental social enterprise pioneering organic and bulk food in the region since 1978. Became a registered environmental charity in 2016. Supports hundreds of local and organic farmers, employs 75+ locals across three stores & cafes.","org website + Echo/Byron Bay Chamber 2026-04-22 (email inferred from domain pattern - verify)"
"Mullumbimby & District Neighbourhood Centre","mullumbimby","Mullumbimby","neighbourhood-centre,food-relief,food-security","(02) 6684 1286","admin@mdnc.org.au","https://www.mdnc.org.au",,"Heart-of-the-community neighbourhood centre offering emergency relief, food parcels, frozen meals, free counselling, free community lunches Tue-Thu 12.30-1.30pm, and Wednesday soup kitchen. Gulganii Pantry runs low-cost food Mon/Wed/Fri.","org website 2026-04-22 (email inferred from domain pattern - verify)"
"Pottsville Beach Neighbourhood Centre","other","12A Elizabeth St, Pottsville, Tweed LGA","neighbourhood-centre,community-garden,food-relief","(02) 6676 4555","admin@pbnc.org.au","https://www.pbnc.org.au",,"Tweed Coast neighbourhood centre offering community services to children, young people, families and seniors. Runs social enterprises including an op shop, tech centre, and community gardens.","org website + Pottsville Beach NC listings 2026-04-22 (email inferred - verify)"
"New Brighton Farmers Market","other","Tom Kendall Oval, River St, New Brighton, Byron LGA","farmers-market,food-systems","(02) 6684 5390","info@newbrightonfarmersmarket.org.au","https://newbrightonfarmersmarket.org.au",,"Tuesday producer-only farmers market (7-11am) on the Byron coast. Part of the regional short food-supply network linking local producers directly with shoppers.","market website 2026-04-22"
