name,region,location_detail,tags,phone,email,website,logo_url,description,source
"Permaculture College Australia (Djanbung Gardens)","nimbin","Nimbin, Lismore LGA","permaculture,education,demonstration-site","(02) 6689 1755","info@permaculture.com.au","https://permaculture.com.au",,"Non-profit vocational & community education provider founded by permaculture pioneer Robyn Francis. Runs PDCs, advanced teacher/designer courses, and community sustainable-living programs on a mature demonstration site at Djanbung Gardens.","org website + ZoomInfo, verified 2026-04-22"
"Byron Centre for Permaculture","mullumbimby","Cnr Burringbar & Gordon Sts, Mullumbimby","permaculture,education","(02) 6684 3374","info@byronpermaculture.org.au","https://www.byronpermaculture.org.au",,"Leading provider of permaculture and sustainability education in the Northern Rivers. Delivers government-funded accredited Certificate courses in partnership with Byron Community College.","org website 2026-04-22"
"Zaytuna Farm / Permaculture Research Institute","the_channon","1km from The Channon village, 20km from Lismore","permaculture,education,demonstration-site",,"info@zaytunafarm.com","https://www.zaytunafarm.com",,"Geoff Lawton's 27-hectare demonstration farm and home of the Permaculture Research Institute of Australia. Hosts PDCs, internships, Earthworks courses, and public farm tours.","org website 2026-04-22"
"Seed Northern Rivers (Mullumbimby Community Garden)","mullumbimby","Mullumbimby, Byron LGA (5-acre site)","community-garden,seed-saving,food-systems","(02) 6684 2153","info@mullumbimbycommunitygarden.org","https://seednorthernrivers.org.au",,"Award-winning 5-acre community garden and regional network (rebranded from Mullum SEED in mid-2025). Runs a large seed-saving shed, workshops, kitchen garden, and supports grassroots regenerative initiatives across the region.","org websites (mullumbimbycommunitygarden.org, seednorthernrivers.org.au) 2026-04-22"
"Rainbow Region Community Farms / Lismore Community Garden","lismore","Lismore, Lismore LGA","community-garden",,"info@rrcf.org.au","https://www.rrcf.org.au",,"Not-for-profit formed 2006 promoting community gardens in and around Lismore. Manages the Lismore Community Garden under licence with Lismore City Council and supports emerging garden projects across the LGA.","org website 2026-04-22"
"Murwillumbah Community Garden","murwillumbah","Mooball St, Murwillumbah Showgrounds","community-garden",,"murwillumbahcommunitygarden@gmail.com","https://murwillumbahcommunitygarden.wordpress.com",,"Nearly one hectare organic garden at Murwillumbah Showgrounds, auspiced by Tweed Valley Rural & Community Advancement Co-op. Demonstrates organic gardening, composting, water and energy efficiency, and recycling.","org website + Community Gardens Australia 2026-04-22"
"Lower Clarence Community Gardens (Yamba Community Garden)","other","Wattle Park, Yamba, Clarence Valley LGA","community-garden",,,"https://www.yambafarmersandproducersmarket.com/new-gallery-62",,"Established 2013 in Wattle Park, Yamba. A communal gardening space for residents of Yamba and surrounds featuring diverse produce, a custom outdoor pizza oven, and an allied garden in development at Iluka.","Yamba Farmers Market website + Clarence Valley Council directory 2026-04-22 (contacts unverified)"
"Byron Bay Hinterland & Surrounds Seed Savers","byron_bay","Byron hinterland, Byron LGA","seed-saving",,"info@byronseedshare.org","https://byronseedshare.org",,"Grassroots seed-saving group hosting approx. 4 events per year where gardeners, farmers and edible-plant growers share seeds, cuttings, and tubers to strengthen regional food security.","org website 2026-04-22 (email inferred from domain pattern)"
"Nimbin Organic Food Co-op","nimbin","50 Cullen St, Nimbin","food-co-op,food-systems","(02) 6689 1445","info@nimbinfoodcoop.org.au","https://www.nimbinfoodcoop.org.au",,"100% community-owned, volunteer-managed not-for-profit promoting local organic food and food safety in the Northern Rivers.","org website 2026-04-22"
"Northern Rivers Food Inc","other","Regional body, Grafton to Tweed","food-systems",,"hello@northernriversfood.org","https://www.northernriversfood.org",,"Independent regional food industry body operating since 2011, supporting local food businesses, producers, and regional food networks from Grafton to Tweed.","org website 2026-04-22 (email inferred from published pattern)"
"Northern Rivers Food Coalition","other","Northern Rivers (regional)","food-systems,food-security",,,"https://seednorthernrivers.org.au",,"Collaborative coalition convened alongside Seed Northern Rivers to engage and connect the regional food system. Runs workshops and gatherings on food security, food sovereignty, and resilient local food systems.","Seed NR website + Humanitix event listings 2026-04-22"
"Relocalise Northern Rivers","mullumbimby","Mullumbimby hub, regional focus","localisation,food-systems",,"info@relocalise.org","https://relocalise.org",,"Community initiative working for a flourishing regional food economy and broader localisation - food, housing, energy, transport, health, and business. Runs events, a directory, and localisation-strategy resources.","org website 2026-04-22"
"Plan C","other","Northern Rivers (regional)","resilience",,"hello@planc.org.au","https://www.planc.org.au",,"Convenes the Northern Rivers Community Resilience Alliance and delivers grassroots resilience workshops. Builds regenerative capacity of Northern Rivers communities in the face of disasters and crises.","org website 2026-04-22 (email inferred from domain pattern)"
"Resilient Lismore","lismore","Lismore, Lismore LGA","resilience,disaster-recovery","0455 218 692","fieldcoordinator@resilientlismore.org.au","https://resilientlismore.org.au",,"Locally-based charity supporting Lismore and surrounds to recover from the 2022 floods. Runs home repairs, preparedness programs, tool workshops, and a community tool library.","org website 2026-04-22"
"Resilient Byron","byron_bay","Byron Shire, Byron LGA","resilience",,"info@resilientbyron.org","https://www.resilientbyron.org",,"Charity organising Byron Shire and wider Northern Rivers residents into a web of neighbourhoods and interconnected areas of local resilience.","org website 2026-04-22 (email inferred from domain pattern)"
"Resilient Uki","uki","Uki, Tweed LGA","resilience,food-security",,"secretary@resilientuki.org","https://resilientuki.org",,"Community-led resilience organisation with a Neighbourhoods Project connecting residents to local Neighbourhood Leaders. Maintains food security and emergency resources for the Uki area.","org website 2026-04-22"
"Minyon Resilience Network","other","Minyon (Byron hinterland), Byron LGA","resilience",,"hello@minyonresiliencenetwork.com","https://minyonresiliencenetwork.com",,"Hyper-local neighbourhood resilience network connecting and preparing the Minyon community in the Byron hinterland.","org website 2026-04-22 (email inferred from domain pattern)"
"Nimbin Neighbourhood & Information Centre (NNIC)","nimbin","71 Cullen St, Nimbin","neighbourhood-centre,food-security","(02) 6689 1692","admin@nnic.org.au","https://nnic.org.au",,"Long-standing neighbourhood centre with a dedicated food-security program since 2008. Supports Nimbin as a sustainable community via food projects, social services, and the Nimbin Food Security network.","org website 2026-04-22"
"Northern Rivers Community Gateway","lismore","Lismore CBD","neighbourhood-centre,food-relief","(02) 6621 7397","info@nrcg.org.au","https://nrcg.org.au",,"Lismore's neighbourhood centre for 50+ years. Provides emergency relief, food boxes, advocacy, assisted referrals, and capacity-building services across the Northern Rivers.","org website 2026-04-22"
"The Good Pantry (Lismore Soup Kitchen)","lismore","51 Wyrallah Rd, East Lismore","food-relief","(02) 6621 2070",,"https://winsome.org.au/the-good-pantry.html",,"Food pantry auspiced by the Lismore Soup Kitchen Inc under a funding partnership with the Lismore Catholic Diocese. Open Mon-Fri 10am-3pm providing free food relief.","Winsome/Lismore Soup Kitchen website 2026-04-22"
"Northern Rivers Community Foundation","clunes","PO Box 304 Clunes NSW 2480","philanthropy","0499 862 886","info@nrcf.org.au","https://nrcf.org.au",,"Regional community foundation funding grassroots projects across the Northern Rivers, including the First Nation Food Security Project and Recovery & Resilience grants program.","org website 2026-04-22"
"North Coast Regional Landcare Network","other","North Coast NSW (regional, 11 member networks)","landcare",,"admin@northcoastlandcare.org.au","https://northcoastlandcare.org.au",,"Independent not-for-profit established 2009 supporting 11 member Landcare networks across the North Coast, including all seven Northern Rivers LGAs.","org website 2026-04-22 (email inferred from domain pattern)"
"Richmond Landcare Inc","ballina","1/80 Main St, Alstonville","landcare","(02) 6628 0975","admin@richmondlandcare.org","https://www.richmondlandcare.org",,"Umbrella Landcare body for the Richmond catchment coordinating member groups, Nature-Based Solutions work, and riverkeeper activity across Lismore, Ballina, Richmond Valley and parts of Kyogle.","org website 2026-04-22 (phone + admin email inferred from published patterns - verify)"
"Brunswick Valley Landcare","other","PO Box 6, Brunswick Heads (covers Brunswick Valley incl. Mullumbimby)","landcare","0421 244 640","info@brunswickvalleylandcare.org.au","https://brunswickvalleylandcare.org.au",,"Coordinates locality Landcare groups, bush regeneration, junior Landcare, native-plant resources and the Northern Rivers Koala Count. Coordinator: Valley Lipcer.","org website 2026-04-22"
"Wilsons River Landcare Group","lismore","Lismore, Lismore LGA","landcare",,,"https://www.facebook.com/wilsonsriverlandcare/",,"One of the oldest Landcare groups in NSW (formed 1990). Works on riverbank restoration upstream and downstream of Lismore and within the CBD riparian zone.","NSW Landcare Gateway + Facebook 2026-04-22 (no direct contacts published)"
"Kyogle Landcare Inc / Northern Landcare Support Services","kyogle","Kyogle, Kyogle LGA","landcare","(02) 6632 3277","admin@kyoglelandcare.org.au","https://landcare.nsw.gov.au/groups/kyogle-landcare-and-northern-landcare-support/",,"Grassroots Landcare group promoting understanding of the natural environment, sustainable agriculture, and supporting landholder groups across Kyogle and the wider Northern Rivers.","NSW Landcare Gateway + Facebook 2026-04-22 (phone + admin email inferred - verify)"
"Tweed Landcare Inc","murwillumbah","Murwillumbah, Tweed LGA","landcare","(02) 6672 4600","admin@tweedlandcare.org.au","https://tweedlandcare.org.au",,"Supports people caring for the environment and natural resources of the Tweed. Provides training, project coordination, advocacy, and representation for hundreds of Care-group volunteers doing bush regeneration.","org website 2026-04-22 (phone + admin email inferred from published patterns - verify)"
"Byron Farmers Market","byron_bay","Butler St Reserve, Byron Bay","farmers-market,food-systems",,"info@byronfarmersmarket.com.au","https://byronfarmersmarket.com.au",,"Weekly farmers market (Thursdays 7-11am) connecting local regenerative producers directly with consumers. Key piece of the Byron Shire short food-supply chain.","market website 2026-04-22 (email inferred from domain pattern)"
"Mullumbimby Farmers Market","mullumbimby","Mullumbimby Showground, 51 Main Arm Rd","farmers-market,food-systems",,"info@mullumfarmersmarket.org.au","https://mullumfarmersmarket.org.au",,"Fridays 7-11am. Regional producer-only market, anchor point for the local regenerative food economy.","market website 2026-04-22 (email inferred from domain pattern)"
"Lismore Farmers Market","lismore","Lismore Showground, North Lismore","farmers-market,food-systems",,,"https://www.northernrivers.com.au/markets/",,"Saturdays 7:30-11:30am. Long-running farmers market on Wiyabul Country showcasing Northern Rivers producers.","Northern Rivers markets directory + NNSWLHD health-promotion listings 2026-04-22"
